participant_id,image_id,face_view,question_type,response,timestamp
200,Face ID (16),right,emotion_rating,4,2025-08-28T06:24:38.413956
200,Face ID (16),right,trust_q2,nan,2025-08-28T06:24:38.413956
200,Face ID (16),right,trust_q3,nan,2025-08-28T06:24:38.413956
200,Face ID (16),right,pers_q1,nan,2025-08-28T06:24:38.413956
200,Face ID (16),right,pers_q2,nan,2025-08-28T06:24:38.413956
200,Face ID (16),right,pers_q3,nan,2025-08-28T06:24:38.413956
200,Face ID (16),right,pers_q4,nan,2025-08-28T06:24:38.413956
200,Face ID (16),right,pers_q5,nan,2025-08-28T06:24:38.413956
200,Face ID (16),full,trust_rating,3,2025-08-28T06:24:59.620629
200,Face ID (16),full,masc_choice,right,2025-08-28T06:24:59.620629
200,Face ID (16),full,fem_choice,left,2025-08-28T06:24:59.620629
200,Face ID (16),full,emotion_rating,1,2025-08-28T06:24:59.620629
200,Face ID (16),full,trust_q2,nan,2025-08-28T06:24:59.620629
200,Face ID (16),full,trust_q3,nan,2025-08-28T06:24:59.620629
200,Face ID (16),full,pers_q1,nan,2025-08-28T06:24:59.620629
200,Face ID (16),full,pers_q2,nan,2025-08-28T06:24:59.620629
200,Face ID (16),full,pers_q3,nan,2025-08-28T06:24:59.620629
200,Face ID (16),full,pers_q4,nan,2025-08-28T06:24:59.620629
200,Face ID (16),full,pers_q5,nan,2025-08-28T06:24:59.620629
200,1 (171),full,trust_rating,3,2025-08-28T06:27:20.058528
200,1 (171),full,masc_choice,right,2025-08-28T06:27:20.058528
200,1 (171),full,fem_choice,left,2025-08-28T06:27:20.058528
200,1 (171),full,emotion_rating,1,2025-08-28T06:27:20.058528
200,1 (171),full,trust_q2,nan,2025-08-28T06:27:20.058528
200,1 (171),full,trust_q3,nan,2025-08-28T06:27:20.058528
200,1 (171),full,pers_q1,nan,2025-08-28T06:27:20.058528
200,1 (171),full,pers_q2,nan,2025-08-28T06:27:20.058528
200,1 (171),full,pers_q3,nan,2025-08-28T06:27:20.058528
200,1 (171),full,pers_q4,nan,2025-08-28T06:27:20.058528
200,1 (171),full,pers_q5,nan,2025-08-28T06:27:20.058528
200,1 (171),full,trust_rating,3,2025-08-28T06:27:25.061096
200,1 (171),full,masc_choice,right,2025-08-28T06:27:25.061096
200,1 (171),full,fem_choice,left,2025-08-28T06:27:25.061096
200,1 (171),full,emotion_rating,1,2025-08-28T06:27:25.061096
200,1 (171),full,trust_q2,nan,2025-08-28T06:27:25.061096
200,1 (171),full,trust_q3,nan,2025-08-28T06:27:25.061096
200,1 (171),full,pers_q1,nan,2025-08-28T06:27:25.061096
200,1 (171),full,pers_q2,nan,2025-08-28T06:27:25.061096
200,1 (171),full,pers_q3,nan,2025-08-28T06:27:25.061096
200,1 (171),full,pers_q4,nan,2025-08-28T06:27:25.061096
200,1 (171),full,pers_q5,nan,2025-08-28T06:27:25.061096
200,Face ID (25),left,trust_rating,5,2025-09-07T04:33:54.468243
200,Face ID (25),left,masc_choice,right,2025-09-07T04:33:54.468243
200,Face ID (25),left,fem_choice,left,2025-09-07T04:33:54.468243
200,Face ID (25),left,emotion_rating,8,2025-09-07T04:33:54.468243
200,Face ID (25),left,trust_q2,nan,2025-09-07T04:33:54.468243
200,Face ID (25),left,trust_q3,nan,2025-09-07T04:33:54.468243
200,Face ID (25),left,pers_q1,nan,2025-09-07T04:33:54.468243
200,Face ID (25),left,pers_q2,nan,2025-09-07T04:33:54.468243
200,Face ID (25),left,pers_q3,nan,2025-09-07T04:33:54.468243
200,Face ID (25),left,pers_q4,nan,2025-09-07T04:33:54.468243
